iter	Passed	Remaining
137	2626	16403
138	2639	16348
139	2656	16316
140	2678	16317
141	2697	16297
142	2715	16273
143	2739	16287
144	2764	16302
145	2786	16296
146	2822	16380
147	2847	16395
148	2866	16370
149	2887	16364
150	2904	16331
151	2918	16282
152	2939	16272
153	2967	16300
154	2989	16295
155	3007	16272
156	3022	16231
157	3046	16237
158	3067	16224
159	3145	16511
160	3174	16540
161	3194	16526
162	3216	16517
163	3240	16518
164	3252	16458
165	3274	16450
166	3292	16422
167	3308	16385
168	3325	16352
169	3341	16313
170	3360	16292
171	3373	16238
172	3387	16191
173	3401	16149
174	3412	16089
175	3432	16068
176	3441	16004
177	3455	15957
178	3469	15914
179	3482	15866
180	3506	15865
181	3524	15841
182	3545	15829
183	3563	15803
184	3591	15820
185	3615	15821
186	3634	15799
187	3656	15792
188	3668	15740
189	3680	15690
190	3698	15663
191	3719	15654
192	3739	15636
193	3750	15583
194	3765	15544
195	3778	15499
196	3793	15462
197	3810	15435
198	3829	15415
199	3842	15371
200	3858	15338
201	3876	15315
202	3896	15297
203	3908	15249
204	3920	15202
205	3933	15159
206	3945	15114
207	3961	15086
208	3974	15043
209	3994	15028
210	4010	14997
211	4037	15007
212	4065	15020
213	4087	15011
214	4111	15010
215	4127	14981
216	4142	14948
217	4153	14899
218	4166	14857
219	4179	14818
220	4195	14789
221	4208	14749
222	4222	14713
223	4233	14666
224	4244	14619
225	4257	14579
226	4281	14579
227	4299	14557
228	4312	14520
229	4327	14486
230	4342	14456
231	4356	14419
232	4372	14392
233	4386	14358
234	4398	14318
235	4410	14279
236	4426	14252
237	4439	14215
238	4451	14175
239	4465	14141
240	4480	14111
241	4499	14094
242	4515	14068
243	4536	14055
244	4551	14027
245	4565	13994
246	4584	13975
247	4599	13947
248	4630	13966
249	4642	13928
250	4655	13893
251	4667	13853
252	4682	13824
253	4696	13794
254	4708	13757
255	4725	13733
256	4738	13699
257	4751	13665
258	4771	13650
259	4785	13620
260	4808	13615
261	4828	13599
262	4840	13563
263	4852	13527
264	4865	13494
265	4881	13468
266	4894	13438
267	4906	13402
268	4919	13367
269	4930	13331
270	4942	13294
271	4959	13273
272	4972	13242
273	4983	13204
274	4996	13172
275	5008	13139
276	5023	13112
277	5036	13081
278	5054	13061
279	5073	13046
280	5088	13019
281	5112	13016
282	5133	13005
283	5146	12974
284	5160	12947
285	5180	12934
286	5194	12903
287	5208	12877
288	5220	12844
289	5232	12811
290	5245	12779
291	5263	12763
292	5277	12735
293	5291	12706
294	5305	12678
295	5317	12647
296	5335	12630
297	5347	12597
298	5366	12580
299	5385	12565
300	5407	12557
301	5424	12538
302	5446	12528
303	5459	12500
304	5475	12476
305	5489	12450
306	5511	12441
307	5527	12419
308	5543	12395
309	5573	12406
310	5594	12393
311	5609	12369
312	5630	12358
313	5643	12330
314	5658	12305
315	5669	12272
316	5680	12238
317	5690	12204
318	5705	12179
319	5717	12148
320	5729	12120
321	5740	12087
322	5753	12059
323	5767	12032
324	5786	12018
325	5798	11987
326	5812	11961
327	5823	11930
328	5834	11899
329	5845	11868
330	5862	11848
331	5873	11817
332	5885	11789
333	5896	11758
334	5907	11726
335	5918	11696
336	5932	11671
337	5945	11644
338	5956	11615
339	5966	11582
340	5977	11550
341	5989	11523
342	6008	11509
343	6022	11485
344	6040	11468
345	6056	11447
346	6073	11429
347	6088	11406
348	6098	11375
349	6111	11349
350	6121	11318
351	6130	11285
352	6143	11259
353	6158	11239
354	6170	11210
355	6182	11184
356	6192	11154
357	6203	11125
358	6216	11099
359	6228	11072
360	6244	11053
361	6260	11034
362	6271	11005
363	6281	10975
364	6292	10948
365	6304	10920
366	6321	10902
367	6331	10873
368	6343	10847
369	6355	10821
370	6365	10791
371	6376	10763
372	6389	10740
373	6399	10711
374	6411	10685
375	6422	10659
376	6434	10633
377	6445	10606
378	6458	10582
379	6472	10560
380	6486	10537
381	6496	10510
382	6507	10483
383	6519	10457
384	6531	10434
385	6546	10413
386	6563	10395
387	6577	10374
388	6588	10349
389	6601	10325
390	6615	10304
391	6627	10279
392	6640	10256
393	6650	10229
394	6663	10206
395	6681	10191
396	6699	10175
397	6716	10158
398	6730	10137
399	6743	10115
400	6758	10095
401	6772	10074
402	6783	10049
403	6798	10029
404	6807	10001
405	6819	9976
406	6832	9954
407	6847	9936
408	6859	9912
409	6873	9890
410	6882	9863
411	6894	9839
412	6907	9817
413	6922	9798
414	6936	9778
415	6949	9756
416	6961	9732
417	6972	9708
418	6986	9687
419	6998	9664
420	7010	9642
421	7023	9620
422	7037	9599
423	7049	9576
424	7061	9554
425	7073	9531
426	7086	9508
427	7096	9484
428	7109	9462
429	7121	9440
430	7137	9423
431	7148	9398
432	7161	9378
433	7173	9355
434	7184	9331
435	7195	9308
436	7210	9289
437	7227	9274
438	7251	9266
439	7274	9258
440	7298	9251
441	7319	9239
442	7345	9235
443	7370	9229
444	7392	9219
445	7410	9204
446	7432	9195
447	7453	9183
448	7472	9170
449	7493	9158
450	7517	9150
451	7542	9143
452	7574	9146
453	7593	9132
454	7605	9109
455	7617	9087
456	7627	9063
457	7637	9037
458	7646	9013
459	7662	8995
460	7673	8972
461	7685	8950
462	7699	8930
463	7710	8906
464	7724	8886
465	7743	8873
466	7756	8853
467	7771	8833
468	7783	8811
469	7793	8788
470	7811	8773
471	7827	8756
472	7844	8739
473	7855	8717
474	7866	8695
475	7878	8672
476	7894	8655
477	7907	8635
478	7925	8619
479	7939	8601
480	7951	8580
481	7973	8569
482	7986	8548
483	8000	8529
484	8016	8512
485	8032	8494
486	8058	8488
487	8069	8466
488	8084	8448
489	8095	8425
490	8110	8407
491	8127	8392
492	8142	8373
493	8154	8352
494	8169	8334
495	8184	8316
496	8203	8302
497	8222	8288
498	8240	8273
499	8260	8260
500	8278	8245
501	8299	8233
502	8312	8213
503	8329	8197
504	8347	8181
505	8367	8168
506	8381	8150
507	8395	8130
508	8412	8115
509	8426	8095
510	8448	8084
511	8463	8066
512	8480	8050
513	8492	8030
514	8512	8016
515	8530	8001
516	8545	7983
517	8560	7965
518	8573	7945
519	8587	7926
520	8602	7908
521	8613	7887
522	8626	7867
523	8640	7849
524	8652	7828
525	8672	7815
526	8685	7795
527	8702	7779
528	8720	7764
529	8740	7751
530	8756	7734
531	8770	7715
532	8788	7700
533	8806	7685
534	8826	7671
535	8843	7655
536	8857	7637
537	8872	7619
538	8885	7599
539	8906	7586
540	8918	7566
541	8932	7548
542	8949	7531
543	8971	7520
544	8985	7501
545	9002	7485
546	9016	7466
547	9032	7450
548	9057	7440
549	9073	7423
550	9093	7410
551	9111	7394
552	9131	7381
553	9148	7365
554	9168	7351
555	9182	7332
556	9202	7318
557	9215	7299
558	9233	7284
559	9246	7265
560	9265	7250
561	9283	7235
562	9301	7219
563	9316	7201
564	9327	7181
565	9347	7167
566	9362	7149
567	9374	7129
568	9388	7111
569	9400	7091
570	9415	7074
571	9429	7055
572	9441	7035
573	9452	7015
574	9464	6995
575	9474	6974
576	9489	6956
577	9503	6938
578	9521	6923
579	9535	6904
580	9546	6884
581	9561	6867
582	9576	6849
583	9589	6831
584	9602	6811
585	9620	6796
586	9633	6777
587	9652	6763
588	9665	6744
589	9683	6728
590	9696	6710
591	9713	6694
592	9729	6677
593	9742	6659
594	9753	6639
595	9766	6620
596	9781	6602
597	9803	6590
598	9816	6571
599	9832	6555
600	9845	6536
601	9857	6517
602	9873	6500
603	9888	6483
604	9922	6478
605	9943	6464
606	9959	6448
607	9972	6429
608	9989	6413
609	10000	6393
610	10020	6379
611	10031	6360
612	10046	6342
613	10060	6324
614	10070	6304
615	10086	6287
616	10099	6269
617	10111	6250
618	10121	6230
619	10135	6211
620	10153	6196
621	10176	6184
622	10190	6166
623	10208	6151
624	10222	6133
625	10234	6114
626	10253	6099
627	10264	6080
628	10277	6062
629	10290	6043
630	10301	6024
631	10314	6005
632	10331	5989
633	10349	5974
634	10369	5960
635	10385	5943
636	10398	5925
637	10420	5912
638	10434	5894
639	10449	5878
640	10460	5858
641	10475	5841
642	10495	5827
643	10508	5809
644	10522	5791
645	10534	5772
646	10544	5753
647	10559	5735
648	10571	5717
649	10583	5698
650	10594	5679
651	10609	5662
652	10620	5643
653	10638	5628
654	10650	5609
655	10662	5591
656	10679	5575
657	10692	5557
658	10709	5541
659	10721	5522
660	10732	5504
661	10746	5487
662	10760	5469
663	10774	5451
664	10792	5436
665	10803	5418
666	10814	5399
667	10827	5381
668	10837	5361
669	10850	5344
670	10864	5327
671	10877	5309
672	10891	5292
673	10903	5273
674	10916	5255
675	10930	5238
676	10942	5220
677	10953	5202
678	10964	5183
679	10976	5165
680	10987	5146
681	11003	5130
682	11019	5114
683	11030	5096
684	11040	5077
685	11051	5058
686	11066	5041
687	11078	5023
688	11093	5007
689	11105	4989
690	11118	4971
691	11135	4956
692	11147	4938
693	11165	4923
694	11182	4907
695	11198	4891
696	11210	4873
697	11225	4857
698	11244	4842
699	11258	4825
700	11269	4806
701	11281	4789
702	11294	4771
703	11309	4755
704	11322	4737
705	11334	4720
706	11350	4703
707	11360	4685
708	11373	4668
709	11388	4651
710	11399	4633
711	11410	4615
712	11421	4597
713	11435	4580
714	11447	4562
715	11469	4549
716	11479	4530
717	11491	4513
718	11504	4496
719	11516	4478
720	11530	4461
721	11544	4445
722	11559	4428
723	11573	4411
724	11588	4395
725	11601	4378
726	11620	4363
727	11631	4345
728	11641	4327
729	11657	4311
730	11668	4293
731	11685	4278
732	11697	4260
733	11712	4244
734	11725	4227
735	11738	4210
736	11750	4193
737	11768	4178
738	11784	4162
739	11796	4144
740	11818	4130
741	11829	4113
742	11847	4097
743	11859	4080
744	11872	4063
745	11882	4045
746	11895	4028
747	11912	4013
748	11926	3996
749	11941	3980
750	11956	3964
751	11971	3947
752	11996	3935
753	12022	3922
754	12035	3905
755	12052	3889
756	12071	3874
757	12084	3857
758	12094	3840
759	12114	3825
760	12126	3808
761	12149	3794
762	12176	3782
763	12202	3769
764	12228	3756
765	12248	3741
766	12266	3726
767	12283	3710
768	12301	3695
769	12318	3679
770	12336	3664
771	12352	3648
772	12374	3633
773	12389	3617
774	12406	3601
775	12422	3585
776	12447	3572
777	12469	3558
778	12488	3542
779	12503	3526
780	12521	3511
781	12535	3494
782	12547	3477
783	12560	3460
784	12577	3444
785	12593	3428
786	12611	3413
787	12623	3396
788	12647	3382
789	12667	3367
790	12686	3352
791	12706	3336
792	12721	3320
793	12737	3304
794	12762	3290
795	12777	3274
796	12790	3257
797	12804	3241
798	12825	3226
799	12840	3210
800	12857	3194
801	12872	3178
802	12885	3161
803	12902	3145
804	12918	3129
805	12931	3112
806	12947	3096
807	12959	3079
808	12983	3065
809	13000	3049
810	13014	3032
811	13024	3015
812	13038	2999
813	13054	2983
814	13066	2965
815	13078	2949
816	13093	2932
817	13106	2916
818	13130	2901
819	13147	2886
820	13167	2870
821	13183	2854
822	13205	2840
823	13223	2824
824	13238	2808
825	13255	2792
826	13273	2776
827	13292	2761
828	13304	2744
829	13317	2727
830	13335	2711
831	13351	2696
832	13369	2680
833	13384	2663
834	13401	2648
835	13417	2632
836	13440	2617
837	13456	2601
838	13472	2585
839	13489	2569
840	13503	2552
841	13526	2538
842	13540	2521
843	13560	2506
844	13572	2489
845	13588	2473
846	13607	2457
847	13637	2444
848	13657	2429
849	13689	2415
850	13713	2401
851	13730	2385
852	13757	2370
853	13772	2354
854	13791	2338
855	13821	2325
856	13838	2309
857	13852	2292
858	13870	2276
859	13881	2259
860	13898	2243
861	13916	2228
862	13932	2211
863	13948	2195
864	13966	2179
865	13995	2165
866	14010	2149
867	14029	2133
868	14043	2117
869	14065	2101
870	14077	2085
871	14092	2068
872	14106	2052
873	14126	2036
874	14150	2021
875	14165	2005
876	14186	1989
877	14203	1973
878	14225	1958
879	14237	1941
880	14250	1924
881	14266	1908
882	14282	1892
883	14299	1876
884	14321	1860
885	14333	1844
886	14348	1827
887	14361	1811
888	14374	1794
889	14392	1778
890	14407	1762
891	14424	1746
892	14434	1729
893	14453	1713
894	14468	1697
895	14481	1680
896	14493	1664
897	14509	1648
898	14524	1631
899	14540	1615
900	14553	1599
901	14569	1582
902	14584	1566
903	14596	1550
904	14621	1534
905	14639	1518
906	14649	1502
907	14664	1485
908	14679	1469
909	14697	1453
910	14707	1436
911	14722	1420
912	14734	1404
913	14746	1387
914	14762	1371
915	14775	1354
916	14786	1338
917	14799	1321
918	14811	1305
919	14822	1288
920	14843	1273
921	14854	1256
922	14867	1240
923	14880	1223
924	14892	1207
925	14912	1191
926	14928	1175
927	14942	1159
928	14954	1142
929	14968	1126
930	14984	1110
931	14996	1094
932	15008	1077
933	15021	1061
934	15035	1045
935	15045	1028
936	15061	1012
937	15075	996
938	15087	980
939	15102	963
940	15118	947
941	15136	931
942	15153	915
943	15169	899
944	15180	883
945	15192	867
946	15204	850
947	15221	834
948	15231	818
949	15243	802
950	15253	785
951	15263	769
952	15274	753
953	15286	737
954	15299	720
955	15310	704
956	15323	688
957	15335	672
958	15346	656
959	15364	640
960	15379	624
961	15391	607
962	15404	591
963	15415	575
964	15427	559
965	15442	543
966	15453	527
967	15468	511
968	15478	495
969	15489	479
970	15500	462
971	15514	446
972	15527	430
973	15539	414
974	15551	398
975	15562	382
976	15571	366
977	15595	350
978	15608	334
979	15622	318
980	15635	302
981	15647	286
982	15662	270
983	15676	254
984	15688	238
985	15702	222
986	15712	206
987	15724	190
988	15740	175
989	15752	159
990	15770	143
991	15781	127
992	15795	111
993	15818	95
994	15832	79
995	15842	63
996	15861	47
997	15881	31
998	15901	15
999	15914	0
